,12,51,6,1,2,-9,2,1
,-35,3,-2,-3,-4,-5,-1,-7
,19,18,-1,1,4,-3,-3,-2
,-38,-73,-4,0,-1,1,0,-3
,40,49,-3,-4,-5,-9,-8,-5
,9,-9,1,0,-1,-4,4,18
,12,16,1,3,0,9,2,2
,13,26,-1,-2,4,-3,-4,1
,-1,-9,-1,0,-2,-1,2,4
,-5,6,-1,-1,-5,3,-3,-6
,-3,-11,-6,-5,1,2,0,-4
,0,-11,0,2,3,0,-3,-4
,20,-25,-3,0,1,-1,-1,1
,-28,-6,-9,-4,-3,-9,-6,-13
,-6,30,4,1,2,6,3,10
,-5,-40,-3,1,1,-4,-3,-11
,-11,-14,5,1,1,0,0,2
,-7,20,2,-1,-3,-1,-1,-4
,16,12,-3,0,-2,-13,-1,-5
,-11,-24,1,0,1,10,4,6
,-13,-6,-1,-5,-3,5,4,-3
,-7,-21,-3,1,1,11,0,-3
,0,-1,2,1,-4,-14,-4,-6
,0,24,4,-2,-5,-9,1,9
,-38,-58,-11,-5,-3,10,-8,-7
,13,58,2,1,-7,-20,-2,3
,-22,-37,-6,-3,-2,-6,2,-4
,-14,9,4,2,3,9,0,-4
,61,-7,-5,1,-3,3,0,14
,20,73,12,4,2,-4,2,6
,1,-20,-3,-2,-2,3,-3,-1
,-17,-21,-3,-2,2,-1,1,-5
,20,17,2,1,1,-11,-2,1
,0,-31,-2,-2,-1,9,3,-9
,10,57,4,3,2,5,3,4
,7,20,-3,-4,-3,-5,-3,-7
,-18,-23,-7,-3,-2,-1,-4,-6
,-3,-30,-5,1,0,-2,0,2
,-12,-11,-4,-5,-2,4,-5,-10
,15,10,0,2,0,-3,-2,2
,-21,-17,-1,-2,-6,-8,-2,-3
,1,40,2,0,1,3,-1,-11
,-12,-17,2,4,7,1,1,3
,0,12,-1,-3,1,4,-4,-7
,-15,-73,-3,-1,-5,-16,-5,-4
,61,69,3,2,-2,2,1,9
,-8,-1,-1,-3,-1,-5,-1,6
,-9,0,-2,0,1,-6,0,-3
,-4,-40,2,4,5,4,4,3
,-26,-6,-3,-6,-3,1,-2,0
,8,34,-4,-4,-7,-14,-10,-4
,-1,-9,-6,-2,0,8,1,3
,-13,18,-6,-6,-7,-9,1,4
,-19,-45,-2,1,2,-1,-3,1
,32,22,3,0,-5,8,3,1
,8,1,1,3,3,-5,-5,-5
,-2,11,1,4,10,16,5,0
,-13,-25,-2,-4,-10,-16,-8,-5
,-13,-15,-1,3,6,5,1,0
,22,-5,-2,-1,-6,-10,-1,5
,3,60,0,-3,-2,6,0,-5
,-19,-33,-1,-2,1,0,-3,-3
,14,-12,-2,-2,-4,-2,4,0
,-27,-37,-1,-5,-3,-7,-6,-7
,34,32,1,0,1,6,1,3
,7,6,0,2,5,13,4,0
,-32,1,-3,-3,-3,-5,-4,3
,4,-9,-5,-3,-3,-8,-5,-4
,-15,-5,1,-1,1,-3,-1,-1
,-10,-29,-2,-1,-4,0,-1,1
,7,2,-1,0,-6,-4,0,0
,19,-2,-2,-3,1,13,3,1
,-20,-36,-3,-3,-5,-22,-8,-6
,-7,-17,-1,1,4,8,1,1
,-20,34,3,-2,-3,-6,-2,1
,49,41,5,-1,-3,-1,1,7
,-20,-15,-3,-1,-1,2,0,-6
,-17,-34,-5,-5,-3,-1,-4,1
,-4,-16,-5,-4,1,4,-8,-10
,-15,-15,-3,1,-5,1,5,2
,25,34,2,-1,-3,3,4,5
,1,7,2,4,1,-9,-2,-2
,-4,-13,-5,-4,-2,-5,-4,-2
,-40,4,-2,0,-1,2,-2,-7
,-8,-30,-8,-4,-5,-16,-8,-7
,-13,16,2,2,0,8,7,-1
,2,-17,-4,0,3,9,1,-2
,3,-6,-4,-1,4,-8,-7,-5
,-15,-28,0,0,0,-2,-2,-2
,39,63,2,-1,-1,-1,-1,1
,0,-14,3,1,3,6,1,-1
,-55,-9,-2,-3,-3,8,1,-2
,25,31,6,2,3,6,0,4
,-4,-30,-6,-3,-6,-21,-2,-3
,4,10,1,2,-1,-4,2,2
,-1,-16,-3,1,-2,-4,-4,-4
,-20,7,4,2,4,13,4,-2
,-7,-28,-3,-2,-3,-16,-1,0
,-10,-13,0,-3,-2,7,1,0
,28,44,-2,-3,-4,-6,-5,1
,-8,-4,0,1,2,2,1,3
,-14,-28,-7,-3,-4,-4,-1,-6
,0,10,2,1,-4,-8,0,0
,-6,-44,-2,-2,-3,-7,3,2
,17,53,0,0,0,21,1,3
,-7,4,3,-1,-1,6,-2,0
,0,-27,-6,-5,-3,-4,-3,-5
,-9,15,2,0,0,2,-1,2
,-44,-57,-5,-1,-2,-6,-2,-8
,23,15,4,-3,3,-2,-2,2
,2,73,5,2,2,25,-3,1
,10,-3,-2,0,0,-1,-2,-3
,-7,-32,-3,0,0,10,10,1
,16,28,0,-6,-6,-1,-18,2
,-13,-30,-4,-2,2,-11,0,0
,17,-8,-6,-4,-1,1,-2,-4
,5,0,0,1,-5,-7,-5,-3
,-1,0,-4,3,1,6,6,-2
,29,-19,-1,-4,0,-10,0,2
,-6,30,10,1,-1,6,4,6
,0,5,-4,-5,-5,-5,-3,0
,-17,-40,-4,2,4,7,1,-2
,6,-3,2,0,-3,-7,1,4
,14,35,-1,-2,-2,-4,-5,-11
,-12,-23,-5,-4,1,-3,-6,1
,-16,-27,-7,-7,-3,3,-1,-6
,0,18,-1,-2,-2,2,-6,0
,-7,-28,-3,2,2,4,2,0
,8,17,1,-4,-5,-6,-2,-3
,15,9,-1,1,0,-7,1,3
,7,27,1,3,2,6,6,-6
,-3,-7,-5,-4,-3,10,-7,-5
,-12,-14,-3,-1,5,-11,1,-2
,21,9,4,-1,1,14,-2,2
,5,-14,-4,-1,-1,-12,1,-1
,-10,-37,0,1,2,-5,2,-3
,9,29,-1,-1,-4,-3,-2,-5
,30,39,-2,-3,-2,-9,-4,2
,-6,5,-1,3,3,6,1,2
,7,-4,-2,-5,-3,-4,-3,2
,-16,-39,-6,-6,-4,1,-2,-3
,-4,15,2,-2,-5,-14,-1,-7
,4,-16,-4,-3,-4,5,-1,2
,4,28,6,3,7,1,6,6
,28,14,-1,-3,-4,-12,-5,2
,-26,-15,-2,0,1,4,0,-4
,-9,-2,1,0,-2,-12,-1,-2
,-4,-19,-7,-3,0,10,-4,-2
,22,33,3,6,2,7,0,2
,-5,6,-3,-3,-7,-1,2,1
,-14,-43,-4,-1,5,0,0,-4
,-19,-28,-4,-2,-4,-15,-3,-5
,-8,28,1,-2,2,-6,-1,-4
,10,-8,-2,3,3,32,12,-1
,-2,24,2,2,2,-15,-5,0
,-3,-26,-6,-2,-1,-2,2,-1
,3,-28,-6,-2,1,6,-4,-4
,-14,-11,1,3,0,-6,0,-3
,-21,-5,-2,-4,-4,-6,-1,-6
,14,30,3,-1,1,10,2,-1
,-3,-8,2,1,-1,-2,1,0
,-49,-20,-7,-3,-1,-2,-4,-8
,7,-2,4,-1,-6,-1,-4,0
,3,38,2,4,4,-4,2,7
,-11,6,-1,-3,-2,-2,-1,-5
,-6,-8,-3,-4,-6,3,0,1
,4,-11,-2,-2,1,-1,-3,-1
,-13,-10,3,2,-2,-3,-1,-2
,8,-3,-2,-5,-5,-12,-4,0
,3,6,2,-1,1,-9,-3,0
,-8,-4,-2,-2,-2,9,-2,-2
,25,32,1,-1,-1,-8,-1,0
,-4,-28,1,1,4,13,3,-1
,-17,-44,-6,-7,-7,-8,-5,-6
,-14,4,-8,-3,-1,2,-1,-4
,31,39,7,-1,1,6,2,6
,-27,-17,-4,0,0,-1,-3,-1
,44,7,2,1,1,-16,-1,6
,-6,-26,-3,-3,2,12,-3,-7
,4,-17,-2,-2,-2,-7,-5,4
,10,9,-1,-3,-2,-4,1,-3
,-3,11,1,2,2,-12,-2,-1
,9,7,-5,-2,-5,15,-2,0
,3,-9,0,1,-4,-8,-2,-1
,-7,-4,1,0,-4,-2,-2,-1
,-17,-47,-6,-2,-3,3,-5,-3
,28,32,9,5,2,-2,7,6
,-11,-24,-3,0,0,7,2,1
,0,41,-1,3,-1,-4,-3,-4
,-30,-21,-4,-2,0,7,0,-1
,6,-10,-5,-1,-1,-9,-3,0
,-14,6,3,0,-3,-7,-2,-5
,-27,-47,-4,-1,0,-2,-2,-2
,45,36,2,0,-1,6,7,8
,6,-4,1,3,2,10,2,1
,-3,-2,-4,-5,-5,-13,-3,-5
,14,19,2,3,2,2,2,6
,-9,-25,-5,-5,-2,10,0,-2
,22,63,10,-1,-5,-8,-1,5
,-17,-6,-7,-4,-3,-2,-2,-7
,22,-19,-3,-3,-4,-5,0,0
,11,30,5,2,1,0,2,0
,-32,-52,-8,-2,-2,-7,-4,-5
,-4,25,-2,2,-2,1,-2,0
,6,15,1,0,1,5,4,2
,-8,6,-3,-2,-4,1,-7,-9
,-8,-14,-3,-3,1,-1,-4,-3
,-13,-16,-1,-3,0,6,-1,-3
,1,14,-1,-3,-4,-3,1,1
,20,23,2,2,3,-2,-4,3
,-10,-73,-3,-2,-4,-12,2,0
,14,87,5,5,4,29,6,4
,18,-17,-2,-1,-2,-5,-5,-2
,-5,-16,-1,0,3,-3,1,0
,-14,6,-5,-4,-5,-7,-2,-5
,18,-6,1,1,-2,-5,-1,2
,-33,-17,-2,-3,2,3,0,-4
,8,37,4,1,-2,-2,4,3
,4,-9,-3,-3,0,-4,-3,-3
,-10,-25,-5,-4,-3,1,2,-1
,0,9,4,3,4,2,3,-2
,-24,-37,-6,-3,-1,-18,-7,-5
,-22,5,0,0,0,14,-2,-6
,3,47,-2,-3,-3,-5,-3,0
,18,-18,-5,-3,-3,3,1,5
,-20,-5,0,0,1,0,-3,-6
,1,47,4,-1,-1,-10,-1,-1
,-26,-54,-5,-4,0,-3,-5,-5
,-5,8,0,0,-1,3,-2,0
,16,19,5,5,6,-1,1,3
,-1,27,1,-1,-3,6,-2,0
,-5,-21,-6,-5,-6,-3,-1,-4
,-6,-15,1,0,3,5,-3,-4
,-5,10,3,-1,-7,-2,4,5
,45,-2,2,2,-1,0,4,2
,-4,7,3,1,5,1,1,8
,-6,-4,-3,-1,-3,-6,-2,-8
,-5,17,-3,-3,-2,4,-4,-1
,-11,-17,-8,-10,-7,-4,-2,-3
,8,-20,6,2,-3,-14,-7,0
,-8,-18,-3,0,0,9,2,-3
,16,61,2,1,0,5,-4,2
,5,-21,-2,0,0,10,-1,3
,9,-33,-5,1,-1,-7,-2,-3
,-4,32,2,-2,-2,-2,-4,0
,3,-18,2,0,-1,-11,4,0
,-30,-35,-10,-3,-4,-2,-9,-13
,12,15,-1,0,-1,1,-1,-2
,-24,-43,-2,0,5,0,3,1
,18,54,3,4,-4,-7,-5,-2
,-13,-5,3,5,10,-2,3,2
,-21,-53,-5,-2,-1,-9,-5,-5
,38,46,2,0,-1,0,-2,3
,-35,-54,-10,-5,-1,1,0,-9
,8,24,5,2,-1,4,5,3
,-24,-24,-5,-1,1,-2,0,-5
,8,24,0,-3,-2,-5,-1,0
,-10,-20,-2,-3,-2,0,-5,-5
,12,8,-1,1,3,-2,3,5
,1,1,-1,-4,-5,-11,-6,-4
,4,15,-5,-3,2,4,0,-1
,16,5,-1,0,-2,4,2,3
,-16,12,4,0,-3,0,3,2
,-1,-14,-2,-2,-2,0,-1,-3
,-20,-13,0,0,-5,2,1,-1
,6,-5,-2,0,0,-6,-3,-2
,10,34,2,-1,0,1,-1,1
,8,39,7,3,3,6,4,3
,-30,-36,-2,-1,-3,-10,-6,-5
,0,-17,-6,-5,-1,10,-3,-2
,13,19,0,-1,-1,-19,-4,-1
,-1,-15,-2,-2,3,22,6,-3
,0,12,-4,-5,-5,2,-4,0
,-23,-80,-3,-1,-3,-9,-8,-2
,40,86,6,4,1,-4,1,5
,2,-2,-2,-2,0,-5,-1,2
